Honda	Fit	2016	Серый	114000	750000
Toyota	Corolla	2006	Белый	127000	485000
Toyota	Camry	2006	Черный	165000	785000
Toyota	Camry	2014	Белый	127000	1400000
Nissan	Quashqai	2017	Красный	46000	1585000
Honda	Accord	1999	Серый	228000	220000
Nissan	Note	2008	Серый	150000	400000
Nissan	Teana	2014	Черный	73000	1240000
Honda	Fit	2016	Черный	114000	570000
Toyota	RAV4	2010	Красный	175000	975000
Toyota	Corolla	2013	Белый	128000	930000
Renault	Duster	2015	Белый	97000	845000
BMW	X5	2002	Белый	405000	450000
Renault	Duster	2014	Черный	97000	799000
Renault	Duster	2016	Черный	208000	794000
Renault	Logan	2014	Белый	41000	510000
BMW	3	2007	Белый	210000	510000
BMW	3	1999	Красный	453000	210000
Renault	Duster	2014	Синий	141000	645000
Renault	Duster	2020	Черный	31000	1280000
BMW	5	2013	Черный	133000	1298000
BMW	X5	2007	Черный	245000	900000
BMW	X5	2010	Черный	155000	1099000
BMW	5	1997	Синий	250000	350000
Renault	Duster	2019	Черный	59000	1165000
BMW	X5	2007	Черный	300000	1200000
BMW	5	2015	Белый	63000	1890000
Renault	Logan	2007	Синий	400000	150000
